ax,ay,az,gx,gy,gz,tg
2751,-5793,1064,2258,-237,4596,1
4395,-2021,-1841,-292,307,2804,1
1144,2035,-673,-2043,1402,663,1
-265,6388,-1004,-3341,1112,219,1
-172,8581,2359,-3865,1164,-1314,1
-4346,9420,6331,-1997,164,-1081,1
-3926,7806,6373,1047,-2047,1336,1
738,4917,2906,2576,-2437,1732,1
1384,3268,167,2085,-1333,318,1
3239,-1983,1948,-178,-2136,-690,1
2694,-9212,4474,1027,2508,-4050,1
-3665,-12554,1744,25,1967,-4656,1
-8048,-11954,5882,-243,-175,-687,1
-423,-7516,2930,1645,-64,4013,1
3436,-3715,-1087,842,472,3820,1
2585,-26,-159,-1260,366,1710,1
2654,3593,-54,-2267,1589,141,1
526,7204,672,-3343,2763,-2047,1
-4007,7903,4066,-2535,1855,-2606,1
-5561,7839,5857,607,-1570,683,1
-1439,6845,3327,2210,-2582,1672,1
833,5860,1929,2305,-1623,728,1
1160,3963,532,2319,-869,-266,1
1624,-405,-560,1538,-1569,-698,1
4973,-11833,2500,570,-1373,-2556,1
-6476,-14162,9967,-2190,30,-5535,1
-9672,-13456,8518,1464,2233,3096,1
5858,-7247,-1524,2320,-29,6049,1
5170,-2297,-1023,-1240,-1023,1696,1
546,2373,-288,-1912,1726,566,1
34,8208,-993,-3865,2630,-576,1
-3868,10276,4816,-2402,2134,-1741,1
-6071,11020,6526,926,-544,400,1
-2088,8771,3490,3544,-1843,2226,1
2902,3524,-663,2156,-1389,531,1
3373,-492,-2924,677,-1877,-227,1
5651,-8364,1545,-894,-1135,-2643,1
-4703,-15757,5523,-2633,361,-6892,1
-10948,-16127,10391,-331,-66,888,1
1409,-8458,2964,1402,447,4922,1
5083,-4149,-170,-224,821,4102,1
2174,515,1614,-1030,2261,1378,1
1056,5630,-235,-1417,1544,635,1
257,9785,1528,-1966,1456,-2014,1
-6500,12399,3229,-406,-271,-101,1
-920,11199,3500,1623,-1416,2543,1
2654,7319,492,2135,-1019,1853,1
3324,4840,-140,1299,-711,385,1
2953,1810,-716,790,-1919,-681,1
1525,-12103,4921,-32,6008,-6064,1
-9783,-18312,5398,201,3793,-5080,1
-8460,-13205,6160,860,571,2345,1
-182,-8218,2560,2024,2613,5310,1
3315,-2704,180,-711,4197,3190,1
2215,1469,1512,-1041,4406,2462,1
3039,7151,318,-1223,4690,377,1
-1064,11419,674,-571,3619,-1563,1
-2764,13757,213,609,1441,129,1
-50,11847,1227,2526,798,658,1
-1701,7626,-2226,3334,1599,385,1
-2296,4294,-1705,738,2591,1726,1
395,2081,1058,-804,7080,1416,1
854,-1994,5405,-265,12432,1186,1
2388,-12010,4871,4131,11419,-977,1
-3566,-14383,-2055,6268,-366,-4502,1
-14887,-14498,-3581,-208,1852,-3992,1
-4611,-9255,2094,-2438,1772,3302,1
1874,-4094,4353,-2265,-3707,3670,1
2952,563,1891,-821,-737,74,1
3130,10295,-6360,-1691,-4152,-5323,1
-4622,11368,-5997,-3992,-7056,-6938,1
-13709,8705,3346,-5647,-5010,-3147,1
-8290,5829,7507,20,1362,6139,1
4697,3888,-1148,1075,2985,4440,1
2869,2282,-569,328,-2084,840,1
1647,-2374,308,213,-3350,-1972,1
1065,-7577,1842,1105,-8908,-1858,1
3783,-13631,4826,2317,-14103,-2841,1
-5279,-14912,6600,1308,-11473,-3785,1
-4401,-8794,6925,1813,-1133,3127,1
1489,-4991,-2676,1728,-7324,6819,1
5535,1509,-496,1506,-16806,3299,1
4622,5647,480,813,-13618,-160,1
-6192,9050,2749,-928,-7942,-1798,1
-4108,12333,1608,-1845,-5157,1694,1
-1790,10708,2360,-2063,-2935,3060,1
2366,7527,2871,-399,-6198,3068,1
5630,5804,639,147,-7358,1486,1
3723,1766,-1214,-396,-4209,-2761,1
-2079,-15235,-4345,-2850,-2339,-1426,1
822,-17778,5680,-6865,-5517,6343,1
14416,-7495,14374,1417,-1560,3977,1
6628,-7860,-1202,5432,3732,-7564,1
-6460,-4657,-6223,4145,1819,-4911,1
-1777,1048,-3677,512,-44,1320,1
-1062,6670,655,-1967,724,1121,1
-188,12251,3869,593,-2073,2857,1
3586,14543,-1737,1781,2557,1577,1
2826,10192,-5176,508,2200,755,1
3774,5841,-2606,-1468,-4340,654,1
4236,1684,-2321,-2465,-3573,-456,1
2024,-4080,-4142,-3473,-1454,-1398,1
1225,-12467,-2580,-4680,415,-251,1
627,-15960,6314,-6779,331,2036,1
5003,-11420,15649,-570,-2050,3195,1
9815,-8795,3940,6535,-349,-2637,1
-882,-8254,-4538,6551,126,-5121,1
-887,-2417,-4253,3295,-526,-251,1
-625,3618,-2431,550,1684,306,1
3133,14762,278,922,853,2863,1
